Order_Date,Category,Sub-Category,Product_Name,Customer_Name,Region,Sales,Profit,Profit_Margin,Quantity
2024-10-19,Books,Non-Fiction,Non-Fiction Ipsum,Kashvi Varty,South,68958.6,10525.09,15.262911370010409,2
2025-08-30,Groceries,Rice,Rice Nemo,Advik Desai,North,33732.0,6299.66,18.6756195897071,1
2023-11-04,Kitchen,Juicer,Juicer Odio,Rhea Kalla,East,207603.2,19850.27,9.561639704975645,4
2025-05-23,Groceries,Oil,Oil Doloribus,Anika Sen,East,158610.0,36311.02,22.893272807515284,5
2025-01-19,Clothing,Kids Wear,Kids Wear Quo,Akarsh Kaul,West,45033.3,9050.04,20.096328716749607,1
2025-04-06,Furniture,Chair,Chair Assumenda,Vardaniya Jayaraman,West,171219.75,23722.84,13.855200699685637,5
2023-10-13,Clothing,Accessories,Accessories Minima,Drishya Khare,West,6908.4,680.26,9.846853106363268,2
2025-08-17,Books,Biography,Biography Vel,Misha Dua,North,14296.5,1289.03,9.016402616024902,1
2025-03-07,Groceries,Spices,Spices Expedita,Arhaan Vala,North,32667.2,3700.89,11.329070137630405,1
2024-12-02,Kitchen,Juicer,Juicer Voluptatibus,Lavanya Hayer,West,28366.2,5703.09,20.105230873363368,2
2025-08-24,Kitchen,Cookware Set,Cookware Set Doloremque,Divyansh Thaman,North,17217.6,4139.82,24.044117647058822,2
2024-05-21,Beauty,Perfume,Perfume Itaque,Nishith Kumar,South,73078.2,16216.55,22.190680668106218,3
2024-12-05,Home Decor,Vase,Vase Ratione,Anika Khanna,North,51253.45,6826.05,13.318225407265269,1
2023-12-03,Clothing,Women's Wear,Women's Wear Optio,Amani Acharya,East,119215.0,21029.48,17.639961414251562,5
2025-07-25,Kitchen,Juicer,Juicer Debitis,Anay Grewal,North,29343.6,5535.44,18.86421570632097,2
2023-10-13,Electronics,Laptop,Laptop Numquam,Stuvan Majumdar,East,232402.5,35657.72,15.343087961618313,5
2024-05-24,Electronics,Smartwatch,Smartwatch Ad,Ritvik Ramanathan,South,134362.05,26225.16,19.518279156949454,3
2025-09-07,Groceries,Oil,Oil Odio,Darshit Sharma,South,13590.0,1234.71,9.08543046357616,4
2024-06-15,Sports,Dumbbells,Dumbbells Soluta,Sara Chanda,East,39789.6,4240.62,10.657609023463417,3
2024-01-11,Books,Textbook,Textbook Inventore,Gatik Ravi,West,172866.75,39437.91,22.814051863646423,5
2023-10-15,Kitchen,Refrigerator,Refrigerator Commodi,Jivin Sunder,West,5259.2,580.75,11.042554000608458,1
2024-03-16,Groceries,Wheat,Wheat Natus,Kashvi Ratti,North,113738.5,27267.31,23.973685251695777,5
